7
5 8
1 3 75
3 4 51
2 4 19
3 2 95
2 5 42
5 4 31
1 2 9
3 5 66
9 14
1 2 4
1 8 8
2 8 11
3 2 8
8 9 7
8 7 1
7 9 6
9 3 2
3 4 7
3 6 4
7 6 2
4 6 14
4 5 9
5 6 10
4 4
1 4 5
1 2 2
2 3 3
1 3 4
47 102
44 46 262
21 11 190
42 44 27
2 27 121
4 15 193
17 30 246
7 8 287
1 29 244
19 8 196
33 2 42
11 40 191
47 23 36
43 27 268
22 27 139
36 34 127
44 26 136
5 41 202
33 11 99
20 11 169
21 17 1
14 37 31
36 6 236
41 22 35
47 6 154
33 18 250
12 33 117
31 17 13
20 34 184
30 25 155
25 39 132
40 39 223
24 1 140
46 36 268
4 18 191
21 22 224
32 41 259
2 9 46
35 7 171
39 37 29
30 19 115
47 21 170
1 36 188
15 18 101
32 41 227
7 16 156
26 3 16
34 26 240
19 12 183
8 16 243
5 29 39
25 44 119
39 5 71
10 15 25
29 23 68
24 34 157
5 24 138
30 20 283
41 21 200
36 10 124
43 16 262
18 31 144
1 45 98
15 38 209
37 24 250
3 41 59
26 44 262
45 24 166
45 17 168
7 27 244
2 24 121
11 5 162
34 10 92
3 32 296
26 43 24
45 35 208
41 3 50
44 22 217
13 2 102
18 2 186
21 37 163
25 46 72
13 26 31
23 6 162
18 26 241
5 36 231
7 1 93
28 39 15
9 6 229
10 43 86
26 39 10
24 16 209
2 28 31
33 27 173
12 27 243
47 32 296
27 34 36
18 29 130
2 47 37
44 8 134
14 34 260
8 33 38
36 14 281
33 89
1 11 236
1 29 209
1 32 53
2 10 43
2 4 142
2 9 148
3 19 148
3 30 80
3 4 243
4 12 201
5 20 253
6 24 126
6 33 86
6 4 51
7 11 117
7 11 290
7 26 158
7 31 270
7 32 11
7 32 119
8 20 199
8 33 209
8 5 74
9 16 64
9 18 119
9 20 44
10 28 145
11 12 198
11 17 36
11 18 100
12 32 235
12 6 297
12 7 127
12 7 90
13 16 153
14 26 76
15 23 95
15 5 92
16 10 143
16 6 125
17 24 100
17 5 173
18 25 265
18 31 234
18 8 292
19 10 43
19 29 220
20 25 228
20 3 222
20 32 227
21 17 84
21 22 133
21 23 18
22 20 25
22 26 85
23 14 264
23 4 128
23 5 124
24 4 100
24 6 209
24 8 16
25 26 25
25 9 205
26 12 104
26 13 166
27 16 37
27 20 179
28 11 286
28 11 36
28 11 5
28 16 212
28 27 107
28 29 255
29 27 218
29 9 180
30 10 108
30 10 211
30 18 171
30 26 33
31 10 187
31 12 167
31 18 296
31 32 183
31 9 171
32 25 218
32 25 276
32 25 80
33 16 53
33 5 173
4 4 
1 4 5 
1 2 2 
2 3 3 
1 3 4
3 3
1 2 1
1 3 1
2 3 2
