3 5
1 2 3
> 1 D
< 2 C
= 3 D
> 4 C
< 5 D

6 9
3 1 5 4 2 3
> 1 D
< 2 C
= 3 D
> 4 C
< 5 D
= 6 C
< 6 C
> 6 C

10001 10001
